Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Mag(1),Mag(2),Mag(3)
2020-05-11 13:20:40.321101,-0.002924,0.002508,1.001515,-8.8E-05,2.7E-05,-0.001045,-4.836639,-0.224259,37.917686
2020-05-11 13:20:40.373892,-0.003234,0.00324,1.000663,-0.002004,0.000912,-0.000272,-4.950066,-0.267917,37.661453
2020-05-11 13:20:40.426651,-0.002056,0.002081,1.000906,-0.000609,-0.000447,0.000771,-4.951207,-0.193064,37.924255
2020-05-11 13:20:40.479443,-0.002676,0.002752,1.001819,-0.001769,-0.000285,0.000597,-4.789721,-0.212466,37.713196
2020-05-11 13:20:40.532185,-0.00187,0.001897,1.000602,0.000947,-0.000127,0.000725,-4.890131,-0.27068,37.741924
2020-05-11 13:20:40.584980,-0.003048,0.002508,1.001819,-0.000413,-0.000714,0.000701,-4.869659,-0.366041,37.825924
2020-05-11 13:20:40.637737,-0.00218,0.002508,1.00188,4.3E-05,-0.000395,8.7E-05,-4.864482,-0.332551,37.942516
2020-05-11 13:20:40.690581,-0.002738,0.003362,1.002063,-0.001139,0.000357,8.4E-05,-4.865941,-0.171587,38.401886
2020-05-11 13:20:40.743480,-0.002676,0.002935,1.001515,-0.000953,0.000197,0.000672,-4.990307,-0.176988,38.815872
2020-05-11 13:20:40.796562,-0.002862,0.003057,1.001271,-0.000626,0.000338,0.000945,-5.028201,0.050444,39.042461
2020-05-11 13:20:40.849506,-0.002986,0.002386,1.00115,-0.000458,-0.000411,0.00047,-5.142516,0.037229,39.023251
2020-05-11 13:20:40.902421,-0.002862,0.001226,1.001697,-0.00059,-0.000988,1.2E-05,-5.177967,0.105941,39.324585
2020-05-11 13:20:40.955185,-0.00249,0.003668,1.002063,0.000168,0.000374,0.000454,-4.881528,0.258491,39.141445
2020-05-11 13:20:41.007980,-0.002242,0.003118,1.000419,-0.000576,6.6E-05,0.000144,-5.025177,0.191469,38.713097
2020-05-11 13:20:41.060680,-0.003358,0.002752,1.001819,-0.000114,-0.000822,-9E-06,-5.100897,0.131753,38.26001
2020-05-11 13:20:41.113499,-0.00342,0.002447,1.001271,0.001071,0.000239,0.000435,-5.301472,0.022992,38.002136
2020-05-11 13:20:41.166238,-0.002552,0.001714,1.000967,-0.001032,-0.000212,0.000272,-5.209932,-0.125004,38.193897
2020-05-11 13:20:41.219042,-0.003606,0.002325,1.001454,-0.000554,-5.7E-05,0.000559,-5.147901,-0.212908,37.899853
2020-05-11 13:20:41.271763,-0.002552,0.002447,1.001515,-0.000831,-0.000941,0.000392,-5.176675,-0.368613,37.827328
2020-05-11 13:20:41.324530,-0.00342,0.003057,1.001758,-0.000804,-0.00091,0.001117,-5.188495,-0.346807,37.900055
2020-05-11 13:20:41.377607,-0.003358,0.003057,1.002184,-3.9E-05,0.000892,-0.000396,-5.169951,-0.420844,37.801338
2020-05-11 13:20:41.430446,-0.003606,0.002508,1.002489,-0.001514,-2.4E-05,-0.000678,-5.076715,-0.3459,37.826965
2020-05-11 13:20:41.483167,-0.002676,0.002264,1.000785,0.000308,0.000125,0.000968,-5.231727,-0.426217,37.72834
2020-05-11 13:20:41.536040,-0.002862,0.002935,1.00048,-0.00044,0.000564,0.000198,-5.215736,-0.447779,37.678497
2020-05-11 13:20:41.588875,-0.002924,0.003546,1.002002,0.001051,0.001283,-0.00099,-5.197344,-0.428436,37.708355
2020-05-11 13:20:41.641632,-0.002738,0.002264,1.001637,-0.00046,-0.000974,-0.000219,-5.16023,-0.388566,37.990833
2020-05-11 13:20:41.694442,-0.002614,0.00324,1.001758,-0.001774,-0.000351,-0.000654,-5.046538,-0.344473,37.964035
2020-05-11 13:20:41.747229,-0.003048,0.002691,1.002184,-9.1E-05,0.000399,0.000106,-5.078785,-0.254309,38.093681
