timestamp,BMI120_Accelerometer.x,BMI120_Accelerometer.y,BMI120_Accelerometer.z,BMI120_Gyroscope.x,BMI120_Gyroscope.y,BMI120_Gyroscope.z,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z,GPS.lat,GPS.long,GPS.alt,Latitude_out,Longitude_out,Altitude_out
1581320909181,0.4794922,1.4077148,10.046967,0.08332825,-0.14561462,0.03163147,-0.050278395,-0.008074403,-0.91984653,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909205,0.6375122,1.2257538,9.580093,-0.10202026,-0.091278076,0.015655518,0.12304407,-0.08603752,-0.04498577,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909222,0.656662,1.2760315,10.109207,-0.07218933,-0.07104492,-0.021636963,0.0968526,-0.022928834,0.5312309,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909244,0.522583,1.2401276,10.111603,-0.009338379,-0.07211304,-0.028030396,-0.03276837,-0.029827952,0.4446106,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909265,0.43878174,1.3478699,9.774017,0.00024414062,-0.061462402,0.0007324219,-0.1581648,0.059563637,0.08357811,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909286,0.4651184,1.3311005,9.479538,-0.03704834,-0.014587402,0.014587402,-0.12696898,0.021835208,-0.1428175,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909307,0.6422882,1.3358917,9.627975,-0.07432556,0.014175415,0.005004883,0.063169,0.0621109,-0.1616888,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909329,0.61834717,1.4364471,9.692627,-0.09030151,0.01524353,0.0007324219,0.06172508,0.126683,0.055103302,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909348,0.54652405,1.4053192,9.932037,-0.051956177,0.0077819824,-0.002456665,-0.016667902,0.08846605,0.24742508,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909369,0.46751404,1.364624,10.2408905,-0.020004272,0.028030396,0.0028686523,-0.07092965,0.090931416,0.46575737,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909391,0.56329346,1.3574371,9.951202,-0.0040130615,0.052520752,0.0071258545,-0.002897203,0.07763505,0.34373188,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909408,0.58483887,1.3789825,9.805145,-0.0008239746,0.07809448,0.0028686523,0.021347404,0.09839177,0.24860191,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909430,0.5369568,1.3382874,9.582489,0.02154541,0.07809448,-0.00032043457,0.01377207,0.021351814,-0.09003544,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909453,0.46272278,1.4412384,9.580093,-0.0040130615,0.044006348,0.00819397,-0.040421426,0.10695982,-0.18612862,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909474,0.54652405,1.3263092,9.7309265,-0.012542725,0.032287598,0.0103302,0.019328296,0.013737798,-0.022017479,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909493,0.43400574,1.3885651,9.498688,-0.020004272,0.0013885498,0.01777649,-0.051388323,0.083290935,-0.122844696,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909515,0.47709656,1.3454742,10.046967,-0.030654907,-0.03163147,0.012451172,-0.001115799,0.03591013,0.14019871,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909536,0.5704651,1.2712555,9.908096,-0.007217407,-0.038024902,0.0071258545,0.0320611,-0.015637875,0.10389137,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909558,0.5800476,1.2904053,9.776413,-0.0008239746,-0.011383057,0.012451172,0.047752798,-0.01865983,0.007352829,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
1581320909577,0.50582886,1.3670197,9.649521,-0.008285522,0.012054443,0.01777649,0.01626879,0.012399554,-0.12402058,31.46865044,74.41227448,166.8251953125,31.46865044,74.41227448,166.8251953125
