Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Mag(1),Mag(2),Mag(3)
2020-05-15 10:33:08.800863,-0.028909,-1.019422,-0.010639,-0.01185,0.004464,-0.007337,10.295593,-42.875751,-17.356615
2020-05-15 10:33:08.853677,0.011306,-1.022689,-0.006884,-0.00053,0.003282,-0.006502,10.23703,-42.848999,-17.429157
2020-05-15 10:33:08.906407,-0.010676,-1.014367,-0.000223,0.001702,0.002434,-0.001413,10.221907,-43.003624,-17.717834
2020-05-15 10:33:08.959161,0.010877,-1.025278,-0.013546,0.015227,0.003239,0.001439,10.196046,-43.056278,-17.776491
2020-05-15 10:33:09.011972,-0.024258,-1.018621,0.00444,0.015162,0.004017,0.002719,10.18162,-43.117443,-18.022203
2020-05-15 10:33:09.064810,-0.003978,-1.022135,-0.017119,0.039162,0.016874,0.002924,10.106639,-42.984409,-18.203804
2020-05-15 10:33:09.117868,-0.004846,-1.025525,-0.022327,0.039481,0.007159,0.002088,9.735699,-42.777843,-17.997541
2020-05-15 10:33:09.170625,0.003526,-1.022196,-0.004886,-0.023247,-0.001642,-0.00182,9.389244,-42.715649,-18.138752
2020-05-15 10:33:09.223355,0.010263,-1.024169,-0.021298,-0.026754,0.009189,-0.003383,9.037555,-42.505859,-18.170464
2020-05-15 10:33:09.276164,-0.026242,-1.029655,-0.014031,-0.065869,-0.015033,-0.015523,8.651091,-42.142651,-18.233829
2020-05-15 10:33:09.328867,-0.021343,-1.034649,-0.020632,-0.00418,0.00525,-0.001129,8.166162,-41.825264,-18.294857
2020-05-15 10:33:09.381608,0.000797,-1.032984,0.035328,0.018575,0.006167,0.004369,7.700685,-41.360771,-18.45746
2020-05-15 10:33:09.434276,0.050898,-1.038224,-0.019602,0.128836,0.015177,0.020099,7.275894,-40.866039,-18.66651
2020-05-15 10:33:09.487002,0.000859,-1.023922,0.006923,0.027127,0.012428,0.002078,6.638505,-40.326267,-18.683729
2020-05-15 10:33:09.539683,-0.017436,-1.016093,-0.041343,-0.002194,0.04007,9.3E-05,6.188754,-39.709789,-18.965376
2020-05-15 10:33:09.592404,0.024381,-1.018929,-0.042736,-0.00596,-0.012935,-0.001239,5.775309,-38.995289,-19.229826
