Time,Acc X,Acc Y,Acc Z,Ang Acc X,Ang Acc Y,Ang Acc Z,Disp X,Disp Y,Disp Z,Rot X,Rot Y,Rot z,Vel X,Vel Y,Vel Z,Ang Vel X,Ang Vel Y,Ang Vel Z
2.03168,0.00114572,0,0,0.00428435,0,0,0.000813273,0,0,-0.00173638,0,0,0.00118851,0,0,-0.0547633,0,0
2.13168,0.00119838,0,0,0.0176884,0,0,0.000937941,0,0,-0.00716884,0,0,0.00130572,0,0,-0.0536624,0,0
2.23168,0.0012507,0,0,0.0306569,0,0,0.00107459,0,0,-0.0124248,0,0,0.00142818,0,0,-0.0512401,0,0
2.33168,0.00130267,0,0,0.0428705,0,0,0.00122375,0,0,-0.0173748,0,0,0.00155585,0,0,-0.0475562,0,0
2.43168,0.0013543,0,0,0.0540285,0,0,0.00138593,0,0,-0.0218969,0,0,0.0016887,0,0,-0.0427012,0,0
2.53168,0.00140559,0,0,0.0638562,0,0,0.00156166,0,0,-0.0258799,0,0,0.0018267,0,0,-0.0367948,0,0
2.63168,0.00145653,0,0,0.0721115,0,0,0.00175144,0,0,-0.0292257,0,0,0.0019698,0,0,-0.0299824,0,0
2.73168,0.00150714,0,0,0.0785911,0,0,0.00195579,0,0,-0.0318518,0,0,0.00211799,0,0,-0.0224318,0,0
2.83168,0.0015574,0,0,0.0831356,0,0,0.00217521,0,0,-0.0336936,0,0,0.00227122,0,0,-0.0143288,0,0
2.93168,0.00160733,0,0,0.0856331,0,0,0.0024102,0,0,-0.0347058,0,0,0.00242946,0,0,-0.00587294,0,0
3.03168,0.00165691,0,0,0.0860219,0,0,0.00266127,0,0,-0.0348634,0,0,0.00259267,0,0,0.0027275,0,0
3.13168,0.00170616,0,0,0.0842926,0,0,0.0029289,0,0,-0.0341625,0,0,0.00276083,0,0,0.0112608,0,0
3.23168,0.00175507,0,0,0.0804878,0,0,0.0032136,0,0,-0.0326205,0,0,0.0029339,0,0,0.0195168,0,0
3.33168,0.00180364,0,0,0.074701,0,0,0.00351584,0,0,-0.0302752,0,0,0.00311183,0,0,0.0272922,0,0
3.43168,0.00185188,0,0,0.0670749,0,0,0.00383613,0,0,-0.0271844,0,0,0.00329461,0,0,0.0343956,0,0
3.53168,0.00189978,0,0,0.0577972,0,0,0.00417493,0,0,-0.0234243,0,0,0.0034822,0,0,0.0406521,0,0
3.63168,0.00194735,0,0,0.0470963,0,0,0.00453272,0,0,-0.0190874,0,0,0.00367456,0,0,0.0459076,0,0
3.73168,0.00199459,0,0,0.0352358,0,0,0.00491,0,0,-0.0142805,0,0,0.00387166,0,0,0.0500327,0,0
3.83168,0.00204149,0,0,0.0225076,0,0,0.00530721,0,0,-0.00912198,0,0,0.00407346,0,0,0.0529258,0,0
3.93168,0.00208806,0,0,0.00922519,0,0,0.00572484,0,0,-0.00373883,0,0,0.00427994,0,0,0.0545157,0,0
4.03168,0.00213429,0,0,-0.00428435,0,0,0.00616336,0,0,0.00173638,0,0,0.00449106,0,0,0.0547633,0,0
4.13168,0.0021802,0,0,-0.0176884,0,0,0.00662321,0,0,0.00716884,0,0,0.00470679,0,0,0.0536624,0,0
4.23168,0.00222577,0,0,-0.0306569,0,0,0.00710487,0,0,0.0124248,0,0,0.00492709,0,0,0.0512401,0,0
4.33168,0.00227102,0,0,-0.0428705,0,0,0.00760878,0,0,0.0173748,0,0,0.00515194,0,0,0.0475562,0,0
4.43168,0.00231594,0,0,-0.0540285,0,0,0.0081354,0,0,0.0218969,0,0,0.00538129,0,0,0.0427012,0,0
4.53168,0.00236053,0,0,-0.0638562,0,0,0.00868519,0,0,0.0258799,0,0,0.00561511,0,0,0.0367948,0,0
4.63168,0.00240479,0,0,-0.0721115,0,0,0.00925857,0,0,0.0292257,0,0,0.00585338,0,0,0.0299824,0,0
4.73168,0.00244872,0,0,-0.0785911,0,0,0.00985601,0,0,0.0318518,0,0,0.00609606,0,0,0.0224318,0,0
4.83168,0.00249233,0,0,-0.0831356,0,0,0.0104779,0,0,0.0336936,0,0,0.00634311,0,0,0.0143288,0,0
4.93168,0.00253562,0,0,-0.0856331,0,0,0.0111248,0,0,0.0347058,0,0,0.00659451,0,0,0.00587294,0,0
5.03168,0.00257857,0,0,-0.0860219,0,0,0.011797,0,0,0.0348634,0,0,0.00685023,0,0,-0.0027275,0,0
5.13168,0.00262121,0,0,-0.0842926,0,0,0.012495,0,0,0.0341625,0,0,0.00711022,0,0,-0.0112608,0,0
5.23168,0.00266352,0,0,-0.0804878,0,0,0.0132192,0,0,0.0326205,0,0,0.00737446,0,0,-0.0195168,0,0
5.33168,0.00270551,0,0,-0.074701,0,0,0.01397,0,0,0.0302752,0,0,0.00764291,0,0,-0.0272922,0,0
5.43168,0.00274718,0,0,-0.0670749,0,0,0.0147479,0,0,0.0271844,0,0,0.00791555,0,0,-0.0343956,0,0
5.53168,0.00278853,0,0,-0.0577972,0,0,0.0155532,0,0,0.0234243,0,0,0.00819234,0,0,-0.0406521,0,0
5.63168,0.00282956,0,0,-0.0470963,0,0,0.0163865,0,0,0.0190874,0,0,0.00847325,0,0,-0.0459076,0,0
5.73168,0.00287027,0,0,-0.0352358,0,0,0.017248,0,0,0.0142805,0,0,0.00875824,0,0,-0.0500327,0,0
5.83168,0.00291065,0,0,-0.0225076,0,0,0.0181383,0,0,0.00912198,0,0,0.00904729,0,0,-0.0529258,0,0
5.93168,0.00295073,0,0,-0.00922519,0,0,0.0190576,0,0,0.00373883,0,0,0.00934036,0,0,-0.0545157,0,0
6.03168,2.99E-03,0,0,0.00428435,0,0,0.0200065,0,0,-0.00173638,0,0,0.00963742,0,0,-0.0547633,0,0
6.13168,0.00302992,0,0,0.0176884,0,0,0.0209852,0,0,-0.00716884,0,0,0.00993844,0,0,-0.0536624,0,0
