timestamp,BMI120_Accelerometer.x,BMI120_Accelerometer.y,BMI120_Accelerometer.z,AK09918_Magnetometer.x,AK09918_Magnetometer.y,AK09918_Magnetometer.z,BMI120_Gyroscope.x,BMI120_Gyroscope.y,BMI120_Gyroscope.z,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z,GPS.lat,GPS.long,GPS.alt
1582626300597,0.8050995,-0.25146484,12.072464,0,0,0,-0.004211426,-0.037399292,0.0043182373,0,0,0,31.47678981,74.40630848,167.74951171875
1582626300607,0.47470093,-0.047958374,9.273636,0,0,0,0.07142639,0.09576416,0.0021820068,0.22701693,0.080060154,-0.98065853,31.47678981,74.40630848,167.74951171875
1582626300618,0.43878174,-0.45018005,8.016678,24.743652,-24.136353,0.81329346,0.04585266,0.05847168,0.003250122,-0.116660655,0.15669686,-1.763794,31.47678981,74.40630848,167.74951171875
1582626300630,-0.14779663,-0.5172119,10.386932,24.743652,-24.136353,0.81329346,-0.054275513,-0.06616211,-0.0020751953,-0.50517786,-0.18278107,-0.61638737,31.47678981,74.40630848,167.74951171875
1582626300641,0.61595154,-0.34962463,12.326248,21.881104,-23.654175,2.9510498,-0.020187378,-0.043792725,6.1035156E-05,-0.08870977,0.19219643,1.9141912,31.47678981,74.40630848,167.74951171875
1582626300652,0.7380676,-0.019226074,9.920074,22.242737,-25.413513,1.5563965,0.049041748,0.055282593,0.0053863525,0.2975726,0.103455156,0.90821075,31.47678981,74.40630848,167.74951171875
1582626300662,0.23287964,-0.50764465,7.750931,22.242737,-25.413513,1.5563965,0.022415161,0.03930664,0.0043182373,0.108314544,0.08164969,-1.3735695,31.47678981,74.40630848,167.74951171875
1582626300675,-0.29862976,-0.5028534,9.673462,22.532654,-23.703003,1.1032104,-0.053222656,-0.067230225,-0.0020751953,-0.2987719,-0.18860275,-1.4670639,31.47678981,74.40630848,167.74951171875
1582626300684,0.29034424,-0.15570068,12.046127,22.532654,-23.703003,1.1032104,-0.06173706,-0.07362366,0.0011138916,-0.5883695,-0.12198016,0.15566826,31.47678981,74.40630848,167.74951171875
1582626300695,0.73327637,-0.21554565,10.401306,23.088074,-23.899841,-0.14190674,0.04798889,0.053146362,0.0011138916,0.35206196,0.07882914,1.6616964,31.47678981,74.40630848,167.74951171875
1582626300706,0.37893677,-0.36160278,7.9568176,23.088074,-23.899841,-0.14190674,0.038391113,0.04675293,0.0053863525,0.16233084,0.2545864,-0.75948143,31.47678981,74.40630848,167.74951171875
1582626300716,0.13232422,-0.53637695,8.2561035,22.720337,-22.923279,1.6464233,-0.03617859,-0.048049927,0.0011138916,-0.2181881,-0.13715675,-2.3826313,31.47678981,74.40630848,167.74951171875
1582626300727,0.33822632,-0.17485046,12.261597,22.720337,-22.923279,1.6464233,-0.06919861,-0.07467651,0.0011138916,-0.45978373,-0.21140778,-0.43859673,31.47678981,74.40630848,167.74951171875
1582626300738,0.79551697,-0.29216003,11.715729,22.232056,-23.20404,2.6931763,0.023483276,0.01586914,0.0011138916,0.31628233,-0.097694665,2.1478338,31.47678981,74.40630848,167.74951171875
1582626300749,0.6877899,-0.15570068,8.998306,22.232056,-23.20404,2.6931763,0.06715393,0.07872009,0.0053863525,0.25864547,0.3010329,-0.14823341,31.47678981,74.40630848,167.74951171875
1582626300760,0.13951111,-0.49806213,7.894577,22.232056,-23.20404,2.6931763,-0.015930176,-0.010772705,0.003250122,-0.23847222,-0.17819029,-2.2297268,31.47678981,74.40630848,167.74951171875
1582626300771,-0.21003723,-0.57707214,10.164276,22.232056,-23.20404,2.6931763,-0.051086426,-0.07148743,-0.004211426,-0.36963087,-0.12938502,-1.1309614,31.47678981,74.40630848,167.74951171875
1582626300782,0.6590576,-0.34243774,12.359756,24.055481,-23.149109,1.8173218,-0.016998291,-0.039535522,0.003250122,-0.17559147,0.24287689,2.0962658,31.47678981,74.40630848,167.74951171875
1582626300793,0.601593,-0.13414001,8.835495,21.69342,-23.490906,2.496338,0.058639526,0.071258545,0.0043182373,0.42548707,0.121112555,0.16435051,31.47678981,74.40630848,167.74951171875
1582626300804,0.3310547,-0.4837036,7.9640045,21.69342,-23.490906,2.496338,0.044784546,0.056350708,0.0011138916,0.24782509,0.28408125,-0.9803028,31.47678981,74.40630848,167.74951171875
1582626300815,-0.19807434,-0.5339813,10.523407,22.073364,-24.3042,1.6555786,-0.039367676,-0.061904907,-0.0031433105,-0.22021282,-0.23154771,-1.4347963,31.47678981,74.40630848,167.74951171875
1582626300824,0.50582886,-0.2897644,12.369339,22.073364,-24.3042,1.6555786,-0.029785156,-0.049118042,-0.0010070801,-0.31463912,0.09980792,1.5182343,31.47678981,74.40630848,167.74951171875
1582626300836,0.7763672,-0.15330505,10.379761,22.660828,-23.065186,3.1829834,0.05117798,0.059539795,0.0011138916,0.28495285,0.08046317,1.7060547,31.47678981,74.40630848,167.74951171875
1582626300848,0.146698,-0.37117004,7.8299255,22.660828,-23.065186,3.1829834,0.024551392,0.03503418,0.0021820068,0.17204887,-0.001922965,-1.8742113,31.47678981,74.40630848,167.74951171875
1582626300858,-0.13342285,-0.5315857,9.888947,22.624207,-21.801758,3.6087036,-0.03829956,-0.05870056,-0.0020751953,-0.19749218,-0.21073014,-1.9557467,31.47678981,74.40630848,167.74951171875
1582626300869,0.2544403,-0.16287231,12.194565,22.624207,-21.801758,3.6087036,-0.053222656,-0.06295776,0.0043182373,-0.41936284,-0.071614355,1.0877438,31.47678981,74.40630848,167.74951171875
1582626300880,0.8410187,-0.124572754,10.279205,23.07129,-23.091125,2.571106,0.05543518,0.06700134,0.0021820068,0.41746262,0.14889249,1.208498,31.47678981,74.40630848,167.74951171875
1582626300892,0.28077698,-0.46455383,7.705429,24.630737,-24.743652,2.770996,0.023483276,0.03717041,0.0053863525,0.08036235,0.17159224,-1.4168024,31.47678981,74.40630848,167.74951171875
1582626300901,0.07487488,-0.62016296,8.483551,24.630737,-24.743652,2.770996,-0.031906128,-0.038467407,-0.0010070801,-0.22715971,-0.25173652,-2.203061,31.47678981,74.40630848,167.74951171875
1582626300912,0.16584778,-0.10542297,12.424408,22.631836,-24.632263,3.501892,-0.04576111,-0.05870056,0.003250122,-0.43642983,-0.19457158,0.5582905,31.47678981,74.40630848,167.74951171875
1582626300923,0.7380676,-0.22033691,11.354202,22.631836,-24.632263,3.501892,0.033065796,0.02758789,0.0021820068,0.046810597,0.13386357,2.4773989,31.47678981,74.40630848,167.74951171875
1582626300932,0.5297699,-0.033584595,9.443619,22.631836,-24.632263,3.501892,0.052246094,0.071258545,-0.0020751953,0.35404322,0.0844529,0.25802135,31.47678981,74.40630848,167.74951171875
1582626300945,0.46990967,-0.45736694,7.858658,22.671509,-22.930908,0.40283203,0.026672363,0.038238525,0.0021820068,0.18347389,-0.07249215,-2.054697,31.47678981,74.40630848,167.74951171875
1582626300955,0.04135132,-0.5220032,9.311951,22.671509,-22.930908,0.40283203,-0.037231445,-0.055511475,-0.0020751953,-0.18948677,-0.26643986,-1.701868,31.47678981,74.40630848,167.74951171875
1582626300967,0.5417328,-0.35681152,12.529755,22.117615,-24.29657,2.7435303,-0.025512695,-0.049118042,-0.0031433105,0.04577899,0.16994983,2.43048,31.47678981,74.40630848,167.74951171875
1582626300976,0.53933716,-0.031188965,9.419678,23.20404,-23.88153,2.8121948,0.06715393,0.073394775,0.0011138916,0.3260862,0.19841641,1.0939941,31.47678981,74.40630848,167.74951171875
1582626300987,0.07487488,-0.45018005,7.755707,23.20404,-23.88153,2.8121948,0.016021729,0.033981323,6.1035156E-05,0.24449229,0.027688205,-1.6386976,31.47678981,74.40630848,167.74951171875
1582626300998,-0.1166687,-0.52919006,9.390945,23.02246,-23.098755,1.3275146,-0.041503906,-0.05657959,-0.004211426,-0.18450421,-0.18321672,-2.0850382,31.47678981,74.40630848,167.74951171875
1582626301010,0.07008362,-0.27061462,11.950348,23.02246,-23.098755,1.3275146,-0.055343628,-0.06828308,0.0011138916,-0.3520536,-0.19891182,-0.99296093,31.47678981,74.40630848,167.74951171875
1582626301021,0.7476349,-0.10542297,10.049362,22.303772,-23.678589,2.6504517,0.07035828,0.082977295,0.0053863525,0.31967258,0.052923083,1.681632,31.47678981,74.40630848,167.74951171875
1582626301033,0.4723053,-0.47172546,8.148361,22.303772,-23.678589,2.6504517,0.061828613,0.06700134,0.0011138916,0.21605319,0.103717744,-1.0022898,31.47678981,74.40630848,167.74951171875
1582626301041,0.09642029,-0.505249,8.069351,22.491455,-23.223877,1.9226074,4.5776367E-05,-0.00010681152,0.0011138916,-0.34402874,-0.1005657,-2.1529932,31.47678981,74.40630848,167.74951171875
1582626301053,0.10360718,-0.19400024,11.2847595,22.738647,-25.752258,1.8493652,-0.055343628,-0.07362366,0.0011138916,-0.51610315,-0.17441285,-0.5464897,31.47678981,74.40630848,167.74951171875
1582626301064,0.82424927,-0.21554565,11.579254,22.738647,-25.752258,1.8493652,0.02029419,0.026519775,6.1035156E-05,0.34374732,0.043979138,2.1665068,31.47678981,74.40630848,167.74951171875
1582626301077,0.31188965,-0.5172119,7.80838,20.986938,-23.77472,1.6738892,0.035202026,0.03503418,0.003250122,0.21552166,0.0011764169,-1.5329094,31.47678981,74.40630848,167.74951171875
1582626301086,0.09881592,-0.6608734,7.719803,20.986938,-23.77472,1.6738892,0.0011138916,0.020126343,-0.0010070801,0.21552166,0.0011764169,-1.5329094,31.47678981,74.40630848,167.74951171875
1582626301097,0.18739319,-0.112594604,11.8689575,22.532654,-23.703003,1.1032104,-0.054275513,-0.076812744,6.1035156E-05,-0.48819643,-0.10660502,0.67862797,31.47678981,74.40630848,167.74951171875
1582626301109,0.7141266,-0.100631714,11.370956,22.532654,-23.703003,1.1032104,0.03945923,0.038238525,0.0011138916,0.22749785,0.0054514706,2.3727646,31.47678981,74.40630848,167.74951171875
1582626301118,0.5297699,-0.012039185,9.381378,22.213745,-23.205566,2.2262573,0.066085815,0.071258545,0.0011138916,0.37013128,0.2566799,0.25046635,31.47678981,74.40630848,167.74951171875
1582626301129,0.14190674,-0.505249,7.657547,22.213745,-23.205566,2.2262573,-0.009536743,-0.0011749268,-0.0010070801,-0.029946744,-0.09114933,-2.1430893,31.47678981,74.40630848,167.74951171875
1582626301141,0.19937134,-0.57707214,7.9640045,22.702026,-24.813843,1.0040283,-0.009536743,-0.0011749268,-0.0010070801,-0.23217496,-0.11203992,-2.358427,31.47678981,74.40630848,167.74951171875
1582626301148,0.4148407,-0.13893127,12.568054,22.702026,-24.813843,1.0040283,-0.042556763,-0.06828308,-0.0020751953,-0.21639773,0.15015188,1.6697941,31.47678981,74.40630848,167.74951171875
1582626301160,0.5656738,-0.052749634,9.982315,23.457336,-24.847412,1.7990112,0.068222046,0.07444763,0.0053863525,0.45146242,0.18814576,0.93456936,31.47678981,74.40630848,167.74951171875
1582626301171,0.62553406,-0.1987915,8.536224,23.457336,-24.847412,1.7990112,0.06289673,0.07232666,0.0053863525,0.19613138,0.29836598,-0.42431545,31.47678981,74.40630848,167.74951171875
1582626301183,-0.05680847,-0.4453888,8.722977,22.891235,-24.6521,2.7313232,-0.042556763,-0.05230713,0.0011138916,-0.24511412,-0.17830479,-2.2180967,31.47678981,74.40630848,167.74951171875
